# x_m,y_m,w_tr_right_m,w_tr_left_m
57.879387,411.076504,7.000,7.000
52.763778,413.023930,7.000,7.000
48.547286,416.318678,7.000,7.000
45.520280,420.148499,7.000,7.000
43.996492,424.713352,7.000,7.000
43.993890,429.556134,7.000,7.000
46.167199,439.974113,7.000,7.000
46.877233,454.520543,7.000,7.000
46.041927,468.133109,7.000,7.000
44.256864,481.480089,7.000,7.000
41.695466,494.354709,7.000,7.000
-75.344423,871.578428,7.000,7.000
-84.404481,880.017078,7.000,7.000
-91.961093,883.535338,7.000,7.000
-101.357203,883.993177,7.000,7.000
-110.150339,881.356185,7.000,7.000
-115.817369,876.455309,7.000,7.000
-119.878128,869.046013,7.000,7.000
-121.993793,860.952684,7.000,7.000
-121.311633,851.887817,7.000,7.000
-117.867824,844.079276,7.000,7.000
-100.782935,816.686312,7.000,7.000
-85.765431,783.221073,7.000,7.000
-84.210158,779.483706,7.000,7.000
-84.210158,779.483706,7.000,7.000
-69.593010,729.148448,7.000,7.000
-67.530330,722.469218,7.000,7.000
-15.093219,546.488630,7.000,7.000
-7.426962,510.036181,7.000,7.000
-2.278576,466.284488,7.000,7.000
-0.595023,421.090802,7.000,7.000
-1.282279,406.599195,7.000,7.000
-1.784163,399.971518,7.000,7.000
-3.364621,393.929089,7.000,7.000
-6.352882,389.174265,7.000,7.000
-10.292523,384.866413,7.000,7.000
-15.052997,382.091720,7.000,7.000
-20.573753,380.981548,7.000,7.000
-28.410414,380.324120,7.000,7.000
-32.839541,378.227452,7.000,7.000
-35.934482,375.113071,7.000,7.000
-38.698963,371.518941,7.000,7.000
-40.532562,366.921960,7.000,7.000
-40.816398,361.488570,7.000,7.000
-33.674304,288.328905,7.000,7.000
-3.864570,41.010220,7.000,7.000
