# x_m,y_m
227.196921,-311.301995
225.776260,-306.506372
224.310083,-301.722491
222.831340,-296.941803
221.352506,-292.161069
219.873743,-287.380252
218.395045,-282.599355
216.916404,-277.818381
215.437812,-273.037335
213.959264,-268.256221
212.480752,-263.475044
211.002269,-258.693806
209.523807,-253.912512
208.045361,-249.131166
206.566923,-244.349772
205.088485,-239.568335
203.610041,-234.786857
202.131584,-230.005344
200.653107,-225.223799
199.174603,-220.442226
197.696064,-215.660629
196.217484,-210.879012
194.738856,-206.097380
193.260172,-201.315736
191.781426,-196.534085
190.302611,-191.752430
188.823719,-186.970775
187.344744,-182.189124
185.865678,-177.407482
184.386515,-172.625853
182.907247,-167.844240
181.427868,-163.062648
179.948370,-158.281080
178.468746,-153.499540
176.988990,-148.718034
175.509094,-143.936564
174.029052,-139.155134
172.548856,-134.373750
171.068499,-129.592414
169.587974,-124.811131
168.107275,-120.029904
166.626393,-115.248739
165.145323,-110.467638
163.664057,-105.686606
162.182588,-100.905647
160.700909,-96.124765
159.219013,-91.343964
157.736893,-86.563248
156.254542,-81.782620
154.771962,-77.002084
153.289231,-72.221615
151.806468,-67.441180
150.323794,-62.660745
148.841329,-57.880273
147.359192,-53.099732
145.877504,-48.319085
144.396384,-43.538299
142.915952,-38.757338
141.436328,-33.976168
139.957633,-29.194754
138.479985,-24.413061
137.003506,-19.631056
135.528314,-14.848702
134.054530,-10.065966
132.582274,-5.282813
131.111665,-0.499207
129.642824,4.284885
128.175870,9.069498
126.710924,13.854668
125.248105,18.640428
123.787533,23.426814
122.329329,28.213860
120.871400,33.000991
119.373152,37.777022
117.761315,42.521760
115.960381,47.212855
113.837272,51.738108
111.177140,55.857702
107.772302,59.329350
103.640872,62.033090
98.988742,63.950679
94.031430,65.054205
89.015804,65.213445
84.203796,64.249017
79.832193,62.050300
76.031682,58.797031
72.905073,54.745222
70.555179,50.150888
69.084811,45.270042
68.596780,40.358698
69.141183,35.622685
70.556176,31.066070
72.626668,26.642229
75.137566,22.304535
77.873775,18.006362
80.622739,13.701627
83.264546,9.364090
85.796320,4.992578
88.222678,0.587524
90.548240,-3.850640
92.777623,-8.321480
94.915448,-12.824565
96.966332,-17.359462
98.934895,-21.925738
100.825755,-26.522960
102.643530,-31.150696
104.392839,-35.808513
106.078426,-40.495747
107.705884,-45.210138
109.281165,-49.948760
110.810221,-54.708683
112.299005,-59.486976
113.753470,-64.280710
115.179567,-69.086956
116.583251,-73.902783
117.970474,-78.725262
119.347187,-83.551462
120.719344,-88.378455
122.092885,-93.203318
123.471876,-98.024098
124.856604,-102.840809
126.246899,-107.653697
127.642590,-112.463013
129.043508,-117.269003
130.449483,-122.071916
131.860344,-126.872002
133.275923,-131.669507
134.696049,-136.464681
136.120552,-141.257772
137.549261,-146.049028
138.982009,-150.838698
140.418623,-155.627030
141.858935,-160.414272
143.302774,-165.200672
144.749970,-169.986480
146.200354,-174.771944
147.653756,-179.557311
149.110005,-184.342830
150.568931,-189.128750
152.030366,-193.915319
153.494138,-198.702786
154.960032,-203.491402
156.426515,-208.281530
157.890594,-213.073658
159.349197,-217.868278
160.799252,-222.665884
162.237686,-227.466967
163.661430,-232.272021
165.067410,-237.081539
166.452556,-241.896014
167.813795,-246.715939
169.148056,-251.541807
170.452267,-256.374110
171.723357,-261.213342
172.958254,-266.059996
174.153886,-270.914564
175.307182,-275.777539
176.415069,-280.649416
177.474477,-285.530685
178.482334,-290.421841
179.435567,-295.323376
180.331106,-300.235783
181.165878,-305.159555
181.936812,-310.095185
182.640862,-315.043160
183.277322,-320.003388
183.849635,-324.974750
184.361673,-329.956023
184.817307,-334.945982
185.220407,-339.943404
185.574846,-344.947065
185.884494,-349.955740
186.153222,-354.968206
186.384901,-359.983239
186.583403,-364.999615
186.752599,-370.016111
186.896892,-375.030415
187.026275,-380.028799
187.154089,-384.990700
187.290132,-389.897920
187.360922,-394.789336
187.209244,-399.761214
186.678020,-404.890686
185.649365,-410.032190
184.028459,-414.909151
181.720776,-419.243312
178.631787,-422.756418
174.667132,-425.170507
169.873087,-426.459399
164.692991,-427.307769
159.639764,-428.524854
155.195600,-430.784195
151.690360,-434.086499
149.406450,-438.224289
148.436665,-442.971843
148.366517,-448.054795
148.700786,-453.192979
149.123273,-458.231442
149.587445,-463.203848
150.069738,-468.158105
150.558850,-473.116805
151.054338,-478.080135
151.556130,-483.047511
152.064156,-488.018348
152.578345,-492.992064
153.098627,-497.968072
153.624932,-502.945789
154.157189,-507.924630
154.695327,-512.904011
155.239276,-517.883348
155.788965,-522.862056
156.344294,-527.839646
156.905018,-532.816064
157.470856,-537.791376
158.041525,-542.765651
158.616742,-547.738954
159.196226,-552.711354
159.779693,-557.682917
160.366862,-562.653712
160.957449,-567.623805
161.551172,-572.593264
162.147749,-577.562157
162.746898,-582.530549
163.348334,-587.498510
163.951777,-592.466105
164.556944,-597.433403
165.163552,-602.400471
165.771319,-607.367375
166.379962,-612.334185
166.989198,-617.300965
167.598746,-622.267785
168.208323,-627.234711
168.817645,-632.201811
169.426432,-637.169152
170.034417,-642.136795
170.641473,-647.104750
171.247538,-652.073004
171.852547,-657.041544
172.456439,-662.010356
173.059151,-666.979426
173.660620,-671.948741
174.260784,-676.918288
174.859579,-681.888054
175.456944,-686.858024
176.052815,-691.828185
176.647129,-696.798524
177.239825,-701.769028
177.830839,-706.739682
178.420108,-711.710474
179.007571,-716.681389
179.593163,-721.652415
180.176823,-726.623538
180.758488,-731.594745
181.338095,-736.566022
