# x_m,y_m
0.543067,-195.603182
-4.158417,-193.925728
-8.702315,-191.856618
-12.993593,-189.306595
-17.009829,-186.342130
-20.767163,-183.055689
-24.126814,-179.364281
-27.019501,-175.295944
-29.521442,-170.978029
-31.609948,-166.442187
-33.222132,-161.718962
-34.279897,-156.838821
-34.925996,-151.888138
-35.262491,-146.908229
-35.281359,-141.915444
-34.945445,-136.931382
-34.282036,-131.983791
-33.471158,-127.062108
-32.494958,-122.160429
-31.124077,-117.357574
-29.475112,-112.646106
-27.749043,-107.962512
-25.877799,-103.330545
-23.818325,-98.781495
-21.596893,-94.309154
-19.239604,-89.906763
-16.771671,-85.565467
-14.215241,-81.275641
-11.587737,-77.028944
-8.903853,-72.817608
-6.176080,-68.634527
-3.415340,-64.473124
-0.631984,-60.326799
2.160949,-56.186954
4.947645,-52.042908
7.719658,-47.889008
10.475706,-43.724538
13.214485,-39.548664
15.936289,-35.361704
18.642571,-31.164709
21.334752,-26.958642
24.014396,-22.744581
26.683239,-18.523670
29.343149,-14.297125
31.995990,-10.066142
34.643292,-5.831683
37.286236,-1.594516
39.925917,2.644702
42.563501,6.885219
45.200021,11.126383
47.835977,15.367931
50.472418,19.609151
53.110781,23.849175
55.752173,28.087332
58.397842,32.322803
61.048921,36.554895
63.706426,40.782959
66.371371,45.006331
69.044716,49.224393
71.727090,53.436717
74.419472,57.642643
77.128989,61.837569
79.873078,66.009916
82.673143,70.144908
85.550002,74.226860
88.516827,78.243236
91.600053,82.172579
94.819878,85.992168
98.115536,89.742306
101.465475,93.445264
104.876638,97.088101
108.327944,100.693724
111.877913,104.213860
115.625852,107.512420
119.644803,110.470163
123.845859,113.172692
128.139331,115.721592
132.570425,118.022702
137.170070,119.963522
141.911296,121.531276
146.753580,122.747634
151.673302,123.596023
156.645765,124.037898
161.636848,124.057883
166.615239,123.659775
171.504546,122.677187
176.246566,121.106950
180.816247,119.095075
185.083766,116.523944
189.487672,114.227582
193.771416,111.579538
197.671088,108.489831
201.239121,105.005765
204.459163,101.184193
207.488440,97.210797
210.345330,93.117631
213.064324,88.928909
215.693331,84.684040
218.245163,80.391832
220.716786,76.052455
223.113428,71.671784
225.428929,67.246839
227.644710,62.773438
229.723299,58.231554
231.659115,53.630127
233.418641,48.969421
234.962057,44.198950
236.587937,39.494134
237.237253,34.542329
237.659302,29.592374
236.835086,24.653462
236.052797,19.722897
234.916631,14.864366
233.283826,10.146955
231.123212,5.649792
228.254044,1.568073
224.887479,-2.116427
221.158602,-5.434926
217.137486,-8.393524
212.844373,-10.940583
208.304203,-13.015075
203.587464,-14.651140
198.757242,-15.914548
193.843349,-16.795432
188.868917,-17.220023
183.877344,-17.365160
178.885964,-17.505178
173.892284,-17.572187
168.899701,-17.469235
163.911188,-17.238682
158.933513,-16.839097
153.967547,-16.312858
149.010183,-15.710197
144.056046,-15.081447
139.102617,-14.447123
134.149138,-13.813191
129.195308,-13.182004
124.240890,-12.555454
119.285661,-11.935353
114.329408,-11.323494
109.371921,-10.721718
104.412989,-10.131975
99.452394,-9.556384
94.489912,-8.997305
89.525302,-8.457460
84.558300,-7.940094
79.588568,-7.449668
74.615872,-6.990279
69.640385,-6.562157
64.662566,-6.162080
59.682425,-5.792004

